city,year,avg_temperature,avg_daily_rainfall,maximum_temperature,minimum_temperature
Delhi,2002,25.666027397260276,1.1008219178082193,45.9,4.3
Delhi,2003,24.1158904109589,2.4876712328767123,45.3,3.4
Delhi,2004,25.32841530054645,1.2989071038251365,44.6,4.1
Delhi,2005,24.728630136986304,1.9704109589041097,44.8,4.6
Delhi,2006,25.744520547945207,1.5041095890410958,44.4,3.6
Delhi,2007,25.22986301369863,1.778904109589041,45.4,4.5
Delhi,2008,24.79412568306011,2.1603825136612023,42.8,3.6
Delhi,2009,25.843698630136988,1.16986301369863,43.8,6.4
Delhi,2010,25.669452054794522,2.4273972602739726,45.6,5.6
Delhi,2011,24.632191780821916,1.7989041095890412,43.1,4.0
Delhi,2012,24.53101092896175,1.56775956284153,44.7,4.1
Delhi,2013,24.20904109589041,2.0632876712328767,44.5,2.4
Delhi,2014,24.739863013698628,1.3523287671232875,44.9,4.7
Delhi,2015,24.60767123287671,2.2326027397260275,44.1,4.8
Delhi,2016,25.390163934426226,2.1704918032786886,43.1,4.8
Delhi,2017,25.224794520547942,1.4961643835616438,45.2,4.1
Delhi,2018,25.002465753424655,1.9241095890410957,43.3,4.4
Delhi,2019,24.725890410958907,1.5676712328767124,44.5,2.4
Delhi,2020,24.31571038251366,1.5904371584699455,44.4,3.0
Delhi,2021,24.858082191780824,2.1380821917808217,43.8,3.2
Delhi,2022,25.210410958904106,1.937808219178082,45.6,4.1
Delhi,2023,24.601780821917806,2.288767123287671,43.5,3.1
Delhi,2024,25.13346994535519,2.8040983606557375,46.4,3.5
Hyderabad,2000,25.91092896174863,2.1434426229508197,41.0,11.9
Hyderabad,2001,26.343287671232876,1.8076712328767122,41.5,12.5
Hyderabad,2002,26.465616438356168,1.5391780821917806,39.9,13.0
Hyderabad,2003,26.48506849315068,2.1093150684931508,42.2,12.9
Hyderabad,2004,26.010792349726778,1.8226775956284154,40.4,12.6
Hyderabad,2005,26.16821917808219,2.488219178082192,41.6,11.5
Hyderabad,2006,25.94164383561644,2.063013698630137,39.8,12.4
Hyderabad,2007,26.2072602739726,2.1046575342465754,40.0,12.4
Hyderabad,2008,26.125136612021855,2.2256830601092896,40.3,13.1
Hyderabad,2009,26.97027397260274,1.8284931506849313,41.0,13.5
Hyderabad,2010,26.570684931506847,3.283013698630137,41.7,9.8
Hyderabad,2011,26.115753424657534,1.6123287671232878,39.3,10.0
Hyderabad,2012,26.5327868852459,1.94344262295082,41.0,11.0
Hyderabad,2013,25.904794520547945,2.4953424657534247,41.7,12.0
Hyderabad,2014,26.151095890410957,1.9616438356164383,40.3,12.4
Hyderabad,2015,26.72849315068493,1.3564383561643836,41.6,11.1
Hyderabad,2016,26.388387978142074,2.648360655737705,41.5,12.4
Hyderabad,2017,26.466027397260277,2.0665753424657534,40.9,12.3
