city,year,avg_temperature,avg_max_temperature,avg_min_temperature,total_rainfall,rainy_days,avg_wind_speed
Delhi,2009,25.843698630136988,31.92684931506849,19.76054794520548,427.0,97,14.954520547945204
Delhi,2010,25.669452054794522,31.47287671232877,19.866027397260275,886.0,137,13.951232876712329
Delhi,2011,24.632191780821916,30.282739726027398,18.98164383561644,656.6,127,13.567945205479452
Delhi,2012,24.53101092896175,30.274043715846993,18.7879781420765,573.8,110,14.613387978142077
Delhi,2013,24.20904109589041,29.535068493150682,18.883013698630137,753.1,136,13.818630136986302
Delhi,2014,24.739863013698628,30.433698630136984,19.046027397260275,493.59999999999997,126,14.183561643835617
Delhi,2015,24.60767123287671,30.111780821917804,19.10356164383562,814.9,138,13.794794520547946
Delhi,2016,25.390163934426226,31.06639344262295,19.71393442622951,794.4,131,13.512021857923497
Delhi,2017,25.224794520547942,30.843013698630138,19.606575342465753,546.1,139,16.013972602739727
Delhi,2018,25.002465753424655,30.667123287671235,19.337808219178083,702.3,137,15.37068493150685
Delhi,2019,24.725890410958907,30.003835616438355,19.447945205479453,572.2,139,15.415068493150685
Delhi,2020,24.31571038251366,29.79863387978142,18.832786885245902,582.1,131,15.501092896174862
Delhi,2021,24.858082191780824,30.322191780821917,19.393972602739726,780.4,121,15.451780821917808
Delhi,2022,25.210410958904106,30.87917808219178,19.541643835616437,707.3,116,16.469315068493152
Delhi,2023,24.601780821917806,30.196438356164386,19.007123287671234,835.4,135,15.894246575342464
Delhi,2024,25.13346994535519,30.724043715846996,19.542896174863387,1026.3,113,15.345901639344262
Hyderabad,2000,25.91092896174863,30.94071038251366,20.881147540983605,784.5,139,15.790437158469945
Hyderabad,2001,26.343287671232876,31.26027397260274,21.426301369863015,659.8,141,16.676986301369865
Hyderabad,2002,26.465616438356168,31.506027397260276,21.425205479452053,561.8,130,16.645753424657535
Hyderabad,2003,26.48506849315068,31.289315068493153,21.68082191780822,769.9,145,16.323835616438355
Hyderabad,2004,26.010792349726778,31.06120218579235,20.9603825136612,667.1,164,16.351639344262296
Hyderabad,2005,26.16821917808219,31.05698630136986,21.279452054794522,908.2,153,15.863561643835617
Hyderabad,2006,25.94164383561644,30.80054794520548,21.0827397260274,753.0,156,15.912054794520547
Hyderabad,2007,26.2072602739726,31.130958904109587,21.283561643835615,768.2,142,15.787671232876713
Hyderabad,2008,26.125136612021855,30.994535519125684,21.255737704918033,814.6,154,15.725409836065573
Hyderabad,2009,26.97027397260274,32.04739726027397,21.893150684931506,667.4,125,15.877808219178082
Hyderabad,2010,26.570684931506847,31.124383561643835,22.01698630136986,1198.3,181,15.65150684931507
Hyderabad,2011,26.115753424657534,31.19671232876712,21.034794520547944,588.5,148,15.924657534246576
Hyderabad,2012,26.5327868852459,31.585519125683057,21.480054644808742,711.3000000000001,144,16.23688524590164
Hyderabad,2013,25.904794520547945,30.535342465753423,21.274246575342467,910.8000000000001,155,17.103287671232877
